Distance_(microns),Gray_Value
0.000,1002.000
107.759,1018.986
215.518,1034.972
323.277,1041.975
431.036,1049.011
538.795,1077.972
646.554,1132.797
754.313,1184.606
862.072,1206.549
969.831,1190.645
1077.590,1157.803
1185.349,1134.938
1293.108,1126.966
1400.867,1127.927
1508.626,1130.000
1616.385,1132.169
1724.144,1141.270
1831.903,1151.096
1939.662,1155.899
2047.421,1158.839
2155.180,1164.944
2262.939,1172.059
2370.698,1176.062
2478.457,1173.065
2586.216,1170.203
2693.975,1173.352
2801.734,1183.366
2909.493,1193.228
3017.252,1201.000
3125.011,1209.837
3232.770,1215.916
3340.529,1217.175
3448.288,1216.361
3556.047,1215.465
3663.806,1215.383
3771.565,1216.394
3879.324,1216.899
3987.083,1214.583
4094.842,1210.893
4202.601,1210.110
4310.360,1212.887
4418.119,1217.885
4525.878,1221.000
4633.637,1220.242
4741.396,1221.496
4849.155,1224.761
4956.914,1228.130
5064.673,1230.603
5172.432,1232.594
5280.191,1231.862
5387.950,1229.563
5495.709,1226.862
5603.468,1226.732
5711.227,1226.448
5818.986,1224.761
5926.745,1225.775
6034.504,1228.158
6142.263,1232.518
6250.022,1234.856
6357.781,1231.837
6465.540,1227.493
6573.299,1225.172
6681.058,1227.175
6788.817,1233.000
6896.576,1234.000
7004.335,1230.549
7112.094,1230.186
7219.853,1229.434
7327.612,1230.617
7435.371,1236.000
7543.130,1238.197
7650.889,1241.000
7758.648,1241.203
7866.407,1236.206
7974.166,1231.000
8081.925,1227.634
8189.684,1226.499
8297.443,1229.735
8405.202,1233.879
8512.961,1238.445
8620.720,1241.000
8728.479,1240.772
8836.238,1241.538
8943.997,1244.234
9051.756,1246.473
9159.515,1247.958
9267.274,1249.211
9375.033,1248.225
9482.792,1243.744
9590.551,1238.501
9698.310,1239.761
9806.069,1245.025
9913.828,1253.777
10021.587,1260.262
10129.346,1258.265
10237.105,1254.803
10344.864,1254.541
10452.623,1254.727
10560.382,1254.724
10668.141,1255.558
10775.900,1258.127
10883.659,1256.138
10991.418,1250.149
11099.177,1245.580
11206.936,1245.586
11314.695,1250.296
11422.454,1254.701
11530.213,1254.493
11637.972,1252.479
11745.731,1253.079
11853.490,1254.690
11961.249,1258.687
12069.008,1265.369
12176.767,1272.045
12284.526,1277.358
12392.285,1276.000
12500.044,1276.673
12607.803,1280.011
12715.562,1278.000
12823.321,1272.670
12931.080,1270.028
13038.839,1273.068
13146.598,1274.406
13254.357,1273.693
13362.116,1272.651
13469.875,1270.296
13577.634,1267.645
13685.393,1271.000
13793.152,1277.918
13900.911,1276.547
14008.670,1269.634
14116.429,1265.107
14224.188,1265.115
14331.947,1263.375
14439.706,1264.623
14547.465,1263.620
14655.224,1262.234
14762.983,1266.456
14870.742,1273.279
14978.501,1274.651
15086.260,1273.634
15194.019,1272.411
15301.778,1270.400
15409.537,1269.417
15517.296,1267.028
15625.055,1262.817
15732.814,1261.000
15840.573,1260.586
15948.332,1260.000
16056.091,1257.679
16163.850,1258.535
16271.609,1264.127
16379.368,1267.428
16487.127,1270.000
16594.887,1275.000
16702.645,1278.563
16810.404,1277.682
16918.162,1276.346
17025.922,1280.439
17133.682,1283.208
17241.439,1281.352
17349.199,1277.361
17456.957,1276.913
17564.717,1280.377
17672.477,1282.848
17780.234,1283.859
17887.994,1288.403
17995.754,1297.411
18103.512,1305.420
18211.271,1306.048
18319.029,1302.084
18426.789,1300.482
18534.549,1301.969
18642.307,1304.462
18750.066,1309.961
18857.824,1315.479
18965.584,1314.496
19073.344,1317.000
19181.102,1322.003
19288.861,1326.008
19396.619,1334.014
19504.379,1343.020
19612.139,1349.025
19719.896,1352.516
19827.656,1352.000
19935.414,1347.479
20043.174,1342.428
20150.934,1338.366
20258.691,1337.882
20366.451,1340.403
20474.211,1341.930
20581.969,1337.924
20689.729,1326.918
20797.486,1316.369
20905.246,1315.814
21013.006,1316.901
21120.764,1315.104
21228.523,1307.885
21336.281,1300.904
21444.041,1303.803
21551.801,1301.380
21659.559,1291.963
21767.318,1286.845
21875.076,1288.000
21982.836,1287.276
22090.596,1285.422
22198.354,1284.161
22306.113,1285.332
22413.871,1286.172
22521.631,1286.000
22629.391,1285.817
22737.148,1285.623
22844.908,1285.417
22952.668,1285.800
23060.426,1289.589
23168.186,1297.183
23275.943,1306.000
23383.703,1309.445
23491.463,1304.228
23599.221,1298.149
23706.980,1292.521
23814.738,1290.000
23922.498,1290.625
24030.258,1291.372
24138.016,1294.738
24245.775,1297.366
24353.533,1295.637
24461.293,1295.558
24569.053,1295.854
24676.811,1294.290
24784.570,1295.352
24892.328,1296.349
25000.088,1292.346
25107.848,1279.876
25215.605,1249.890
25323.365,1227.197
25431.123,1254.547
25538.883,1286.014
25646.643,1292.330
25754.400,1288.327
25862.160,1284.000
