Distance_(microns),Gray_Value
0.000,1011.000
107.759,1006.961
215.518,1006.935
323.277,1007.000
431.036,1006.052
538.795,1002.967
646.554,1001.883
754.313,1000.091
862.072,1001.208
969.831,1004.352
1077.590,1004.456
1185.349,1004.788
1293.108,1008.173
1400.867,1010.270
1508.626,1015.186
1616.385,1022.368
1724.144,1028.563
1831.903,1030.772
1939.662,1028.111
2047.421,1026.228
2155.180,1025.215
2262.939,1027.189
2370.698,1032.863
2478.457,1037.349
2586.216,1037.094
2693.975,1037.140
2801.734,1038.694
2909.493,1041.583
3017.252,1046.094
3125.011,1051.567
3232.770,1055.000
3340.529,1053.000
3448.288,1052.792
3556.047,1052.785
3663.806,1048.222
3771.565,1041.912
3879.324,1043.173
3987.083,1051.687
4094.842,1060.980
4202.601,1068.287
4310.360,1073.606
4418.119,1079.404
4525.878,1088.915
4633.637,1101.241
4741.396,1112.153
4849.155,1117.225
4956.914,1125.997
5064.673,1136.287
5172.432,1138.378
5280.191,1136.192
5387.950,1133.606
5495.709,1131.994
5603.468,1138.016
5711.227,1144.726
5818.986,1149.166
5926.745,1152.016
6034.504,1154.472
6142.263,1156.971
6250.022,1160.511
6357.781,1170.306
6465.540,1182.736
6573.299,1186.782
6681.058,1185.635
6788.817,1189.694
6896.576,1190.919
7004.335,1186.964
7112.094,1184.870
7219.853,1188.801
7327.612,1189.873
7435.371,1190.844
7543.130,1195.560
7650.889,1198.850
7758.648,1204.000
7866.407,1207.951
7974.166,1211.410
8081.925,1215.443
8189.684,1214.000
8297.443,1209.000
8405.202,1210.016
8512.961,1213.515
8620.720,1216.958
8728.479,1221.778
8836.238,1225.658
8943.997,1226.296
9051.756,1226.547
9159.515,1231.215
9267.274,1237.241
9375.033,1235.834
9482.792,1234.440
9590.551,1234.899
9698.310,1234.104
9806.069,1234.928
9913.828,1240.192
10021.587,1242.876
10129.346,1240.899
10237.105,1237.857
10344.864,1237.251
10452.623,1239.632
10560.382,1242.362
10668.141,1237.775
10775.900,1233.788
10883.659,1235.052
10991.418,1237.677
11099.177,1235.316
11206.936,1233.967
11314.695,1233.632
11422.454,1233.928
11530.213,1235.606
11637.972,1236.407
11745.731,1233.261
11853.490,1230.016
11961.249,1232.339
12069.008,1233.919
12176.767,1229.000
12284.526,1223.772
12392.285,1224.254
12500.044,1231.222
12607.803,1236.951
12715.562,1238.463
12823.321,1239.000
12931.080,1237.218
13038.839,1232.635
13146.598,1231.616
13254.357,1232.199
13362.116,1230.000
13469.875,1234.629
13577.634,1243.104
13685.393,1243.964
13793.152,1245.003
13900.911,1249.362
14008.670,1248.459
14116.429,1242.173
14224.188,1239.840
14331.947,1238.000
14439.706,1235.746
14547.465,1238.759
14655.224,1243.658
14762.983,1243.463
14870.742,1240.596
14978.501,1239.717
15086.260,1235.736
15194.019,1229.593
15301.778,1228.625
15409.537,1229.726
15517.296,1228.814
15625.055,1226.945
15732.814,1226.098
15840.573,1228.042
15948.332,1230.072
16056.091,1231.059
16163.850,1232.000
16271.609,1232.902
16379.368,1228.951
16487.127,1225.006
16594.887,1226.997
16702.645,1232.010
16810.404,1233.065
16918.162,1231.160
17025.922,1233.176
17133.682,1233.251
17241.439,1229.212
17349.199,1224.049
17456.957,1220.111
17564.717,1220.309
17672.477,1220.547
17780.234,1223.599
17887.994,1225.896
17995.754,1227.055
18103.512,1226.039
18211.271,1221.909
18319.029,1221.537
18426.789,1227.114
18534.549,1229.482
18642.307,1232.143
18750.066,1236.801
18857.824,1240.280
18965.584,1237.147
19073.344,1232.459
19181.102,1234.798
19288.861,1237.997
19396.619,1235.726
19504.379,1235.150
19612.139,1239.485
